
gcn	0.0000	256	4	none	NCI1	98.0752	0.1383	83.1630	1.5910
gin	0.0000	256	4	none	NCI1	98.0238	0.2286	82.0925	3.1634
gcn	0.5000	256	8	relu	Mutagenicity	97.2152	0.4698	81.9920	1.8976
gcn	0.5000	256	8	relu	MUTAG	95.2701	5.2126	87.7778	7.4407
gin	0.0000	256	4	none	NCI1	98.0022	0.2404	82.2141	2.5897
sage	0.0000	256	4	none	NCI1	97.9048	0.1591	81.9708	1.7151
gcn	0.5000	256	8	relu	PROTEINS	92.8513	7.2158	70.1713	4.2524
sage	0.0000	256	4	none	NCI1	97.8616	0.2085	81.8005	1.8427
gcn	0.5000	256	8	relu	DD	97.7175	0.2623	74.1084	3.3759
gcn	0.5000	256	8	relu	IMDB-MULTI	53.7259	2.8424	49.2000	2.6466
unet	0.0000	256	4	none	NCI1	97.1208	1.5959	81.7275	2.2784
gin	0.0000	256	4	none	Mutagenicity	95.9086	1.1248	81.2317	2.3184
gcn	0.5000	256	8	relu	IMDB-BINARY	73.9889	1.1594	70.9000	3.0150
gin	0.0000	256	4	none	NCI1	98.0373	0.1939	81.9465	1.7505
gcn	0.0000	256	4	none	Mutagenicity	96.9641	1.2031	81.4164	1.8491
sage	0.0000	256	4	none	NCI1	97.8886	0.2591	81.5328	1.9569
gin	0.0000	256	4	none	Mutagenicity	96.2134	0.9624	81.2547	1.8844
sage	0.0000	256	4	none	Mutagenicity	96.5440	0.8609	81.3467	1.9440
gat	0.0000	256	4	none	NCI1	97.6696	0.2159	81.2409	1.6302
gin	0.0000	256	4	none	Mutagenicity	95.9880	0.7933	80.9092	2.1339
unet	0.0000	256	4	none	Mutagenicity	94.9607	1.0953	81.0920	2.4059
sage	0.0000	256	4	none	Mutagenicity	96.5773	0.8561	80.9320	2.1531
gcn	0.0000	256	4	none	MUTAG	97.6345	3.3790	87.1930	6.4617
gat	0.0000	256	4	none	Mutagenicity	95.1119	1.5691	80.1926	2.1836
gin	0.0000	256	4	none	MUTAG	98.4629	1.5479	87.2222	5.4043
gin	0.0000	256	4	none	MUTAG	98.7588	0.6179	87.7778	5.2596
sage	0.0000	256	4	none	MUTAG	98.8771	0.4914	89.3275	4.8139
sage	0.0000	256	4	none	MUTAG	98.9951	0.6509	84.5906	3.6334
unet	0.0000	256	4	none	MUTAG	84.9199	6.8490	82.9825	3.9873
gat	0.0000	256	4	none	MUTAG	98.2266	0.3754	84.5614	5.0591
gin	0.0000	256	4	none	PROTEINS	96.7654	0.3932	71.3361	4.5686
gcn	0.0000	256	4	none	PROTEINS	96.7854	0.4443	69.6316	4.2764
sage	0.0000	256	4	none	PROTEINS	95.7973	1.3493	69.9887	5.0824
gin	0.0000	256	4	none	PROTEINS	96.8253	0.4119	69.6276	4.6438
gat	0.0000	256	4	none	PROTEINS	88.0801	2.4104	72.2402	4.0713
sage	0.0000	256	4	none	PROTEINS	95.5177	1.2745	70.4344	3.1720
unet	0.0000	256	4	none	PROTEINS	82.7199	5.2107	71.7905	4.9002
gin	0.0000	256	4	none	DD	90.0136	9.2218	75.5498	2.2256
sage	0.0000	256	4	none	DD	80.5694	1.8113	78.1023	3.1206
gcn	0.0000	256	4	none	DD	97.5665	0.2724	75.3810	2.9432
gat	0.0000	256	4	none	DD	97.5666	0.3880	76.2263	3.5714
gin	0.0000	256	4	none	IMDB-MULTI	56.6296	0.6619	49.9333	3.4442
gin	0.0000	256	4	none	DD	87.9383	9.6679	74.5335	3.9532
sage	0.0000	256	4	none	DD	80.0041	1.6117	76.1415	4.1869
sage	0.0000	256	4	none	IMDB-MULTI	54.9185	1.0781	48.1333	3.4358
gat	0.0000	256	4	none	IMDB-MULTI	39.3704	2.3556	40.2667	3.3092
gin	0.0000	256	4	none	IMDB-BINARY	73.0333	0.6778	71.5000	3.5285
unet	0.0000	256	4	none	DD	97.5666	0.3665	77.1650	3.0157
sage	0.0000	256	4	none	IMDB-BINARY	73.3111	0.7994	70.5000	4.0062
gcn	0.0000	256	4	none	IMDB-MULTI	53.4222	2.5165	49.0667	3.9237
gin	0.0000	256	4	none	IMDB-MULTI	56.3778	1.0551	50.0000	3.4124
gat	0.0000	256	4	none	IMDB-BINARY	65.0111	1.7843	64.9000	4.8466
sage	0.0000	256	4	none	IMDB-MULTI	55.1556	0.5643	47.6000	4.0683
gin	0.0000	256	8	none	NCI1	98.0562	0.1733	81.8978	1.9071
sage	0.0000	256	8	none	NCI1	97.9454	0.1121	81.8735	2.1329
unet	0.0000	256	4	none	IMDB-MULTI	54.7630	2.7317	46.4000	3.9911
gat	0.0000	256	8	none	NCI1	97.8805	0.2282	81.0949	2.3964
gcn	0.0000	256	4	none	IMDB-BINARY	74.1444	0.8973	71.1000	3.6455
gin	0.0000	256	8	none	Mutagenicity	96.0008	1.0315	81.4167	1.9479
gin	0.0000	256	4	none	IMDB-BINARY	73.0778	0.3914	71.4000	3.1048
sage	0.0000	256	8	none	Mutagenicity	95.9573	1.4801	80.3552	1.9761
sage	0.0000	256	4	none	IMDB-BINARY	73.2000	0.8647	71.6000	4.1521
gat	0.0000	256	8	none	Mutagenicity	94.6481	2.1646	79.5946	2.3592
gin	0.0000	256	8	none	MUTAG	98.8180	0.5293	87.1930	5.0132
sage	0.0000	256	8	none	MUTAG	98.7000	0.5791	87.7193	4.9483
unet	0.0000	256	4	none	IMDB-BINARY	73.3444	0.8187	70.3000	5.3301
gat	0.0000	256	8	none	MUTAG	98.7000	0.4419	88.2456	5.3690
gin	0.0000	256	8	none	PROTEINS	96.7453	0.5837	69.1811	2.6235
sage	0.0000	256	8	none	PROTEINS	96.1964	0.8823	71.3377	3.2091
gcn	0.0000	256	8	none	NCI1	98.0752	0.1674	83.0170	1.7505
gat	0.0000	256	8	none	PROTEINS	89.5675	2.0351	69.9928	3.9901
gin	0.0000	256	8	none	NCI1	98.0103	0.1798	82.3601	2.4866
sage	0.0000	256	8	none	NCI1	97.9562	0.1336	81.8735	1.4487
gin	0.0000	256	8	none	DD	85.7396	8.0021	76.7405	2.7349
